"Voter, Affiliation",ALL-ROOKIE FIRST TEAM,ALL-ROOKIE FIRST TEAM,ALL-ROOKIE FIRST TEAM,ALL-ROOKIE FIRST TEAM,ALL-ROOKIE FIRST TEAM,ALL-ROOKIE SECOND TEAM,ALL-ROOKIE SECOND TEAM,ALL-ROOKIE SECOND TEAM,ALL-ROOKIE SECOND TEAM,ALL-ROOKIE SECOND TEAM
"Steve Popper, Newsday","Stephon Castle, San Antonio","Zach Edey, Memphis","Zaccharie Risacher, Atlanta","Kel'el Ware, Miami","Jaylen Wells, Memphis","Matas Buzelis, Chicago","Donovan Clingan, Portland","Ronald Holland II, Detroit","Yves Missi, New Orleans","Alex Sarr, Washington"
"Shaun Powell, NBA.com","Stephon Castle, San Antonio","Zaccharie Risacher, Atlanta","Alex Sarr, Washington","Kel'el Ware, Miami","Jaylen Wells, Memphis","Matas Buzelis, Chicago","Bub Carrington, Washington","Isaiah Collier, Utah","Zach Edey, Memphis","Yves Missi, New Orleans"
"Duane Rankin, Arizona Republic","Stephon Castle, San Antonio","Zaccharie Risacher, Atlanta","Alex Sarr, Washington","Kel'el Ware, Miami","Jaylen Wells, Memphis","Bub Carrington, Washington","Isaiah Collier, Utah","Ryan Dunn, Phoenix","Zach Edey, Memphis","Yves Missi, New Orleans"
"Stephanie Ready, WarnerMedia","Stephon Castle, San Antonio","Zach Edey, Memphis","Zaccharie Risacher, Atlanta","Alex Sarr, Washington","Jaylen Wells, Memphis","Matas Buzelis, Chicago","Donovan Clingan, Portland","Isaiah Collier, Utah","Yves Missi, New Orleans","Kel'el Ware, Miami"
"Bill Reiter, CBSSports.com","Stephon Castle, San Antonio","Zach Edey, Memphis","Zaccharie Risacher, Atlanta","Alex Sarr, Washington","Jaylen Wells, Memphis","Matas Buzelis, Chicago","Isaiah Collier, Utah","Ronald Holland II, Detroit","Yves Missi, New Orleans","Kel'el Ware, Miami"
"Remi Reverchon, BeIN Sports","Matas Buzelis, Chicago","Stephon Castle, San Antonio","Yves Missi, New Orleans","Zaccharie Risacher, Atlanta","Alex Sarr, Washington","Donovan Clingan, Portland","Zach Edey, Memphis","Dalton Knecht, Los Angeles Lakers","Kel'el Ware, Miami","Jaylen Wells, Memphis"
"Tim Reynolds, Associated Press","Stephon Castle, San Antonio","Zach Edey, Memphis","Zaccharie Risacher, Atlanta","Kel'el Ware, Miami","Jaylen Wells, Memphis","Matas Buzelis, Chicago","Donovan Clingan, Portland","Ronald Holland II, Detroit","Jared McCain, Philadelphia","Alex Sarr, Washington"
"Aurelia Rieke, OpenCourt-Basketball.com","Stephon Castle, San Antonio","Donovan Clingan, Portland","Zach Edey, Memphis","Zaccharie Risacher, Atlanta","Jaylen Wells, Memphis","Matas Buzelis, Chicago","Isaiah Collier, Utah","Dalton Knecht, Los Angeles Lakers","Alex Sarr, Washington","Kel'el Ware, Miami"
"Josh Robbins, The Athletic","Matas Buzelis, Chicago","Stephon Castle, San Antonio","Zaccharie Risacher, Atlanta","Alex Sarr, Washington","Jaylen Wells, Memphis","Bub Carrington, Washington","Donovan Clingan, Portland","Zach Edey, Memphis","Yves Missi, New Orleans","Kel'el Ware, Miami"
"Melissa Rohlin, Fox Sports","Stephon Castle, San Antonio","Zach Edey, Memphis","Zaccharie Risacher, Atlanta","Alex Sarr, Washington","Jaylen Wells, Memphis","Matas Buzelis, Chicago","Isaiah Collier, Utah","Ronald Holland II, Detroit","Yves Missi, New Orleans","Kel'el Ware, Miami"
"Taylor Rooks, Bleacher Report","Stephon Castle, San Antonio","Zach Edey, Memphis","Zaccharie Risacher, Atlanta","Alex Sarr, Washington","Jaylen Wells, Memphis","Matas Buzelis, Chicago","Donovan Clingan, Portland","Kyle Filipowski, Utah","Yves Missi, New Orleans","Kel'el Ware, Miami"
"Ryen Russillo, The Ringer","Bub Carrington, Washington","Stephon Castle, San Antonio","Zaccharie Risacher, Atlanta","Kel'el Ware, Miami","Jaylen Wells, Memphis","Matas Buzelis, Chicago","Zach Edey, Memphis","Dalton Knecht, Los Angeles Lakers","Yves Missi, New Orleans","Alex Sarr, Washington"
"Simone Sandri, La Gazzetta dello Sport","Matas Buzelis, Chicago","Stephon Castle, San Antonio","Zach Edey, Memphis","Zaccharie Risacher, Atlanta","Jaylen Wells, Memphis","Donovan Clingan, Portland","Kyle Filipowski, Utah","Yves Missi, New Orleans","Alex Sarr, Washington","Kel'el Ware, Miami"
"Omari Sankofa II, Detroit Free Press","Stephon Castle, San Antonio","Zach Edey, Memphis","Zaccharie Risacher, Atlanta","Alex Sarr, Washington","Jaylen Wells, Memphis","Bub Carrington, Washington","Donovan Clingan, Portland","Kyle Filipowski, Utah","Yves Missi, New Orleans","Kel'el Ware, Miami"
"John Schuhmann, NBA.com","Stephon Castle, San Antonio","Zach Edey, Memphis","Zaccharie Risacher, Atlanta","Kel'el Ware, Miami","Jaylen Wells, Memphis","Matas Buzelis, Chicago","Donovan Clingan, Portland","Kyle Filipowski, Utah","Yves Missi, New Orleans","Alex Sarr, Washington"
"Dennis Scott, WarnerMedia","Stephon Castle, San Antonio","Zach Edey, Memphis","Zaccharie Risacher, Atlanta","Alex Sarr, Washington","Jaylen Wells, Memphis","Matas Buzelis, Chicago","Bub Carrington, Washington","Ryan Dunn, Phoenix","Yves Missi, New Orleans","Reed Sheppard, Houston"
"Jorge Sedano, ESPN/ABC","Stephon Castle, San Antonio","Zach Edey, Memphis","Zaccharie Risacher, Atlanta","Kel'el Ware, Miami","Jaylen Wells, Memphis","Matas Buzelis, Chicago","Donovan Clingan, Portland","Isaiah Collier, Utah","Yves Missi, New Orleans","Alex Sarr, Washington"
"Ramona Shelburne, ESPN","Matas Buzelis, Chicago","Stephon Castle, San Antonio","Zaccharie Risacher, Atlanta","Kel'el Ware, Miami","Jaylen Wells, Memphis","Bub Carrington, Washington","Ryan Dunn, Phoenix","Zach Edey, Memphis","Quinten Post, Golden State","Alex Sarr, Washington"
